Gender,Age,Attitude,Deep,Stra,Surf,Points
1,20,38,3.75,2.75,2.58333333333333,22
1,22,31,3.08333333333333,3,3.33333333333333,31
1,21,35,4.75,1.625,2.83333333333333,23
2,22,36,4.25,1.875,2.5,26
2,23,26,4.16666666666667,3.375,2.41666666666667,12
1,21,44,4.41666666666667,3.75,2.41666666666667,26
1,22,45,3.83333333333333,2.125,2.58333333333333,31
1,29,32,3.33333333333333,2.375,3,19
2,29,39,3.16666666666667,2.75,2,30
2,21,25,3.16666666666667,3.125,3.41666666666667,12
1,28,33,3.83333333333333,3.5,2.83333333333333,17
2,21,33,4.25,2.625,2.25,18
2,30,30,3.83333333333333,3.375,2.75,19
2,21,29,3.66666666666667,2.25,3.91666666666667,21
1,23,33,3.83333333333333,3,2.33333333333333,24
2,21,33,3.83333333333333,4,2.75,28
2,21,35,3.83333333333333,3.5,2.75,17
2,20,36,3.66666666666667,2.625,2.91666666666667,18
1,22,37,4.33333333333333,2.5,2.08333333333333,17
1,21,42,3.75,3.75,3.66666666666667,23
1,21,32,4.16666666666667,3.625,2.83333333333333,26
2,20,50,4,4.125,3.41666666666667,28
1,22,47,4,4.375,1.58333333333333,31
2,20,36,4.58333333333333,2.625,2.91666666666667,27
2,20,36,3.66666666666667,4,3,25
1,24,29,3.66666666666667,2.75,2.91666666666667,23
2,20,35,3.83333333333333,2.75,2.66666666666667,21
2,19,40,2.58333333333333,1.375,3,27
2,21,35,3.5,2.25,2.75,28
2,21,32,3.08333333333333,3.625,3.08333333333333,23
2,22,26,4.25,3.75,2.5,21
2,25,20,3.16666666666667,4,2.33333333333333,25
2,21,27,3.08333333333333,3.125,3,11
2,22,32,4.16666666666667,3.25,3,19
2,25,33,2.25,2.125,4,24
2,20,39,3.33333333333333,2.875,3.25,28
1,24,33,3.08333333333333,1.5,3.5,21
2,20,30,2.75,2.5,3.5,24
1,21,37,3.25,3.25,3.83333333333333,24
2,20,25,4,3.625,2.91666666666667,20
2,20,29,3.58333333333333,3.875,2.16666666666667,19
1,31,39,4.08333333333333,3.875,1.66666666666667,30
2,20,36,4.25,2.375,2.08333333333333,22
2,22,29,3.41666666666667,3,2.83333333333333,16
2,22,21,3.08333333333333,3.375,3.41666666666667,16
1,21,31,3.5,2.75,3.33333333333333,19
